,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Precious Achiuwa,C,23,TOR,55,12,1140,196,404,29,108,167,296,87,124,100,228,328,50,31,30,59,102,508
1,Steven Adams,C,29,MEM,42,42,1133,157,263,0,1,157,262,47,129,214,271,485,97,36,46,79,98,361
2,Bam Adebayo,C,25,MIA,75,75,2598,602,1114,1,12,601,1102,324,402,184,504,688,240,88,61,187,208,1529
3,Ochai Agbaji,SG,22,UTA,59,22,1209,165,386,81,228,84,158,56,69,43,78,121,67,16,15,41,99,467
4,Santi Aldama,PF,22,MEM,77,20,1682,247,525,94,266,153,259,108,144,85,286,371,97,45,48,60,143,696
5,Nickeil Alexander-Walker,SG,24,TOT,59,3,884,131,295,61,159,70,136,40,60,15,86,101,108,32,21,55,88,363
6,Grayson Allen,SG,27,MIL,72,70,1972,245,557,146,366,99,191,114,126,61,176,237,163,62,14,72,117,750
7,Jarrett Allen,C,24,CLE,68,68,2220,403,626,1,10,402,616,162,221,221,445,666,113,54,84,93,153,969
8,Jose Alvarado,PG,24,NOP,61,10,1310,201,489,83,247,118,242,65,80,28,113,141,186,67,10,81,125,550
9,Kyle Anderson,PF,29,MIN,69,46,1957,252,495,43,105,209,390,100,136,66,302,368,335,78,63,103,146,647
10,Giannis Antetokounmpo,PF,28,MIL,63,63,2024,707,1278,47,171,660,1107,498,772,137,605,742,359,52,51,246,197,1959
11,Thanasis Antetokounmpo,PF,30,MIL,37,0,206,20,46,0,8,20,38,11,22,15,29,44,15,3,3,12,22,51
12,Cole Anthony,PG,22,ORL,60,4,1552,277,610,75,206,202,404,152,170,47,241,288,235,37,31,91,158,781
13,OG Anunoby,SF,25,TOR,67,67,2386,421,885,142,367,279,518,140,167,95,237,332,131,128,50,132,200,1124
14,Ryan Arcidiacono,PG,28,TOT,20,4,172,9,37,8,23,1,14,0,0,0,15,15,23,5,0,7,17,26
15,Deni Avdija,SF,22,WAS,76,40,2020,253,579,69,232,184,347,122,165,74,413,487,211,65,29,123,209,697
16,Deandre Ayton,C,24,PHO,67,67,2035,522,887,7,24,515,863,152,200,172,495,667,115,37,53,120,190,1203
17,Udoka Azubuike,C,23,UTA,36,4,359,59,72,0,0,59,72,7,20,31,88,119,11,6,15,18,34,125
18,Marvin Bagley III,C,23,DET,42,25,990,202,382,19,66,183,316,81,108,94,175,269,36,19,30,46,81,504
19,Patrick Baldwin Jr.,SF,20,GSW,31,0,226,43,109,32,84,11,25,4,6,1,39,40,11,6,4,11,14,122
20,LaMelo Ball,PG,21,CHO,36,36,1268,296,721,144,383,152,338,102,122,42,189,231,304,46,11,129,118,838
21,Mo Bamba,C,24,TOT,49,7,769,117,241,48,124,69,117,41,62,58,167,225,46,13,43,30,105,323
22,Paolo Banchero,PF,20,ORL,72,72,2430,479,1122,85,285,394,837,394,534,84,413,497,269,60,39,200,160,1437
23,Desmond Bane,SG,24,MEM,58,58,1841,450,939,166,407,284,532,181,205,43,248,291,254,56,22,126,150,1247
24,Dalano Banton,PG,23,TOR,31,2,279,55,130,15,51,40,79,17,24,11,34,45,36,13,13,18,34,142
25,Dominick Barlow,PF,19,SAS,28,0,408,46,86,0,4,46,82,18,25,46,56,102,24,10,19,15,56,110
26,Harrison Barnes,PF,30,SAC,82,82,2662,374,791,132,353,242,438,350,413,87,279,366,128,57,10,86,103,1230
27,Scottie Barnes,SF,21,TOR,77,76,2678,463,1016,63,224,400,792,190,246,179,333,512,371,83,61,154,170,1179
28,RJ Barrett,SG,22,NYK,73,73,2475,510,1176,121,390,389,786,290,392,60,308,368,201,31,15,164,179,1431
29,Will Barton,SG,32,TOT,56,2,993,138,364,66,180,72,184,37,47,15,122,137,112,28,13,48,56,379
30,Charles Bassey,C,22,SAS,35,2,508,87,135,3,8,84,127,22,37,75,118,193,47,16,33,41,74,199
31,Keita Bates-Diop,PF,27,SAS,67,42,1452,236,465,56,142,180,323,119,150,65,183,248,103,46,20,56,63,647
32,Nicolas Batum,PF,34,LAC,78,19,1709,160,381,124,317,36,64,34,48,62,237,299,121,54,44,50,149,478
33,Darius Bazley,C,22,TOT,43,1,616,83,183,20,53,63,130,38,70,34,104,138,38,22,34,27,44,224
34,Bradley Beal,SG,29,WAS,50,50,1673,444,878,80,219,364,659,192,228,41,155,196,271,45,33,145,107,1160
35,Malik Beasley,SG,26,TOT,81,27,2093,370,937,235,658,135,279,50,65,35,248,283,124,65,9,90,107,1025
36,MarJon Beauchamp,SF,22,MIL,52,11,701,96,243,47,142,49,101,27,37,38,77,115,35,21,7,45,71,266
37,Dāvis Bertāns,PF,30,DAL,45,1,492,69,160,55,141,14,19,13,15,10,43,53,21,11,8,10,53,206
38,Patrick Beverley,SG-PG,34,TOT,67,67,1816,144,360,80,239,64,121,47,65,44,203,247,194,63,41,60,187,415
39,Saddiq Bey,SF,23,TOT,77,37,2129,353,836,151,418,202,418,205,238,98,264,362,118,70,13,71,123,1062
40,Khem Birch,C,30,TOR,20,0,162,19,32,1,2,18,30,4,5,8,17,25,7,5,5,8,24,43
41,Goga Bitadze,C,23,TOT,38,1,457,69,125,6,26,63,99,23,42,61,76,137,39,16,26,22,64,167
42,Bismack Biyombo,C,30,PHO,61,14,874,119,206,0,0,119,206,25,70,89,171,260,56,18,88,51,114,263
43,Buddy Boeheim,SF,23,DET,10,0,90,5,27,4,25,1,2,2,2,2,4,6,4,2,0,0,6,16
44,Bogdan Bogdanović,SG,30,ATL,54,9,1508,273,611,146,360,127,251,64,77,23,142,165,150,43,18,65,86,756
45,Bojan Bogdanović,PF,33,DET,59,59,1893,430,882,145,353,285,529,268,303,36,187,223,152,34,8,135,113,1273
46,Bol Bol,PF,23,ORL,70,33,1505,261,478,30,113,231,365,82,108,69,336,405,69,30,85,112,92,634
47,Leandro Bolmaro,SF,22,UTA,14,0,68,3,20,0,4,3,16,0,0,4,3,7,7,3,1,7,10,6
48,Devin Booker,SG,26,PHO,53,53,1835,527,1067,111,316,416,751,306,358,46,194,240,293,51,18,145,159,1471
49,Brandon Boston Jr.,SF,21,LAC,22,1,248,51,122,12,29,39,93,29,38,7,23,30,20,9,0,12,21,143
50,Chris Boucher,PF,30,TOR,76,0,1523,261,529,62,189,199,340,128,168,157,264,421,29,47,64,41,143,712
51,James Bouknight,SG,22,CHO,34,0,515,69,193,33,109,36,84,20,30,8,64,72,41,14,5,32,49,191
52,Jamaree Bouyea,PG,23,TOT,5,0,71,6,14,2,6,4,8,1,2,1,5,6,4,4,2,4,6,15
53,Tony Bradley,C,25,CHI,12,0,33,6,12,3,5,3,7,4,4,1,10,11,1,1,1,1,2,19
54,Malaki Branham,SG,19,SAS,66,32,1550,269,611,77,255,192,356,58,70,28,153,181,127,33,7,76,115,673
55,Jarrell Brantley,PF,26,UTA,4,0,39,8,14,4,9,4,5,2,2,1,5,6,3,0,2,2,3,22
56,Christian Braun,SG,21,DEN,76,6,1181,143,289,34,96,109,193,40,64,48,133,181,59,41,17,35,101,360
57,Mikal Bridges,SF-SG,26,TOT,83,83,2963,593,1267,169,442,424,825,316,353,79,285,364,273,91,61,127,159,1671
58,Oshae Brissett,PF,24,IND,65,2,1083,123,319,48,155,75,164,104,145,62,156,218,44,33,13,34,79,398
59,Malcolm Brogdon,PG,30,BOS,67,0,1744,354,732,132,297,222,435,160,184,42,238,280,248,45,18,98,109,1000
60,Dillon Brooks,SF,27,MEM,73,73,2214,392,991,143,439,249,552,120,154,45,199,244,189,65,16,104,240,1047
61,Bruce Brown,SF,26,DEN,80,31,2280,358,741,91,254,267,487,116,153,63,265,328,268,87,51,123,190,923
62,Greg Brown III,PF,21,POR,16,0,93,11,28,1,7,10,21,5,12,2,17,19,3,4,5,6,13,28
63,Jaylen Brown,SF,26,BOS,67,67,2405,679,1383,163,487,516,896,263,344,78,381,459,232,75,26,197,172,1784
64,Kendall Brown,SG,19,IND,6,0,40,4,7,0,1,4,6,1,2,2,4,6,3,4,0,2,9,9
65,Moses Brown,C,23,TOT,36,1,294,61,96,0,0,61,96,33,72,57,82,139,4,4,14,15,39,155
66,Sterling Brown,SF,27,LAL,4,0,24,0,4,0,2,0,2,0,0,3,5,8,2,3,0,0,4,0
67,Troy Brown Jr.,SF,23,LAL,76,45,1860,200,465,107,281,93,184,34,39,62,246,308,95,59,16,49,120,541
68,Jalen Brunson,PG,26,NYK,68,68,2379,587,1195,134,322,453,873,325,392,40,201,241,421,61,15,142,152,1633
69,Thomas Bryant,C,25,TOT,59,26,1081,230,369,26,59,204,310,93,126,86,253,339,31,16,30,38,102,579
70,Reggie Bullock,SF,31,DAL,78,55,2364,192,470,151,397,41,73,26,37,32,251,283,108,54,13,36,166,561
71,Alec Burks,SG,31,DET,51,8,1122,200,459,99,239,101,220,153,188,19,139,158,114,38,8,58,98,652
72,Deonte Burton,PF,29,SAC,2,0,6,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
73,Jared Butler,PG,22,OKC,6,1,77,15,32,7,14,8,18,0,0,1,3,4,8,5,0,5,5,37
74,Jimmy Butler,PF,33,MIA,64,64,2138,479,888,36,103,443,785,472,555,141,234,375,340,117,21,101,80,1466
75,John Butler,C,20,POR,19,1,221,17,53,8,35,9,18,3,4,3,14,17,11,7,9,1,22,45
76,Jamal Cain,PF,23,MIA,18,0,240,37,66,7,20,30,46,17,22,15,37,52,12,11,1,6,21,98
77,Kentavious Caldwell-Pope,SG,29,DEN,76,76,2381,292,632,135,319,157,313,103,125,35,173,208,183,112,35,86,145,822
78,Facundo Campazzo,PG,31,DAL,8,0,52,3,13,3,11,0,2,1,2,0,2,2,9,6,0,3,3,10
79,Vlatko Čančar,PF,25,DEN,60,9,889,108,227,43,115,65,112,38,41,24,104,128,80,22,14,37,84,297
80,Clint Capela,C,28,ATL,65,63,1730,350,536,0,1,350,535,79,131,258,459,717,58,45,79,54,139,779
81,Vernon Carey Jr.,C,21,WAS,11,0,28,2,8,0,0,2,8,2,2,3,8,11,3,2,2,2,5,6
82,Jevon Carter,PG,27,MIL,81,39,1810,239,565,142,337,97,228,31,38,35,167,202,197,66,29,78,158,651
83,Wendell Carter Jr.,C,23,ORL,57,54,1690,322,613,80,225,242,388,144,195,120,377,497,132,30,33,106,159,868
84,Michael Carter-Williams,PG,31,ORL,4,0,44,6,14,1,3,5,11,4,7,1,4,5,7,1,1,4,5,17
85,Alex Caruso,PG,28,CHI,67,36,1575,130,286,55,151,75,135,59,73,42,154,196,193,98,46,77,159,374
86,Julian Champagnie,SF,21,TOT,17,3,320,59,130,33,82,26,48,14,17,10,50,60,10,6,5,11,26,165
87,Justin Champagnie,SF,21,TOT,5,0,34,5,15,1,5,4,10,0,0,3,5,8,4,1,0,0,2,11
88,Kennedy Chandler,PG,20,MEM,36,0,281,35,83,2,15,33,68,6,13,9,29,38,58,12,5,18,15,78
89,Max Christie,SG,19,LAL,41,3,512,44,106,26,62,18,44,14,16,7,68,75,21,9,7,13,33,128
90,Josh Christopher,SG,21,HOU,64,2,786,153,329,21,89,132,240,45,60,20,51,71,73,33,15,60,59,372
91,Brandon Clarke,PF,26,MEM,56,8,1090,229,349,1,6,228,343,99,137,92,218,310,72,34,37,55,131,558
92,Jordan Clarkson,SG,30,UTA,61,61,1988,458,1031,155,459,303,572,200,245,72,174,246,270,33,13,186,120,1271
93,Nic Claxton,C,23,BRK,76,76,2271,414,587,0,2,414,585,133,246,184,518,702,144,65,189,96,212,961
94,Amir Coffey,SF,25,LAC,50,9,625,56,145,11,40,45,105,49,63,17,36,53,53,7,5,21,50,172
95,John Collins,PF,25,ATL,71,71,2130,359,707,70,240,289,467,143,178,77,385,462,85,42,73,79,220,931
96,Zach Collins,C,25,SAS,63,26,1441,284,548,55,147,229,401,108,142,116,286,402,180,37,49,129,199,731
97,Chance Comanche,C,26,POR,1,0,21,3,5,0,0,3,5,1,4,2,1,3,0,0,1,0,0,7
98,Mike Conley,PG,35,TOT,67,66,2029,261,610,135,351,126,259,141,169,33,149,182,450,73,14,103,139,798
99,Pat Connaughton,SF,30,MIL,61,33,1443,165,421,109,322,56,99,27,41,50,233,283,77,37,11,33,69,466
100,Xavier Cooks,PF,27,WAS,10,1,126,17,28,0,1,17,27,4,10,16,22,38,6,6,4,8,13,38
101,Robert Covington,PF,32,LAC,48,0,779,102,229,54,136,48,93,30,40,31,135,166,57,38,33,32,86,288
102,Torrey Craig,PF,32,PHO,79,60,1948,228,500,100,253,128,247,32,45,145,281,426,117,50,62,73,179,588
103,Jae Crowder,PF,32,MIL,18,3,340,45,94,24,55,21,39,10,12,17,52,69,27,12,6,7,27,124
104,Jarrett Culver,SF,23,ATL,10,1,137,17,43,1,12,16,31,9,13,10,28,38,6,6,2,7,14,44
105,Cade Cunningham,PG,21,DET,12,12,400,93,224,17,61,76,163,36,43,12,62,74,72,10,7,39,34,239
106,Seth Curry,SG,32,BRK,61,7,1211,208,449,94,232,114,217,51,55,13,87,100,99,36,7,51,96,561
107,Stephen Curry,PG,34,GSW,56,56,1941,559,1133,273,639,286,494,257,281,39,302,341,352,52,20,179,117,1648
108,Dyson Daniels,PG,19,NOP,59,11,1042,87,208,27,86,60,122,26,40,36,152,188,134,43,11,57,99,227
109,Anthony Davis,C,29,LAL,56,54,1904,542,962,19,74,523,888,348,444,195,507,702,148,59,114,122,146,1451
110,Johnny Davis,SG,20,WAS,28,5,423,66,171,17,70,49,101,14,27,10,55,65,28,10,8,17,48,163
111,Terence Davis,SG,25,SAC,64,5,841,154,364,89,243,65,121,34,43,20,119,139,67,43,12,53,104,431
112,JD Davison,SG,20,BOS,12,0,66,8,19,2,7,6,12,1,2,2,7,9,11,2,2,4,5,19
113,Darius Days,SF,23,HOU,4,0,25,5,12,3,10,2,2,2,2,1,5,6,1,0,1,0,2,15
114,Dewayne Dedmon,C,33,TOT,38,1,426,77,151,12,39,65,112,33,49,34,100,134,26,9,19,25,75,199
115,Matthew Dellavedova,PG,32,SAC,32,0,213,17,50,9,27,8,23,4,7,1,12,13,41,7,0,10,20,47
116,DeMar DeRozan,SF,33,CHI,74,74,2682,657,1303,46,142,611,1161,456,523,34,309,343,377,83,36,153,186,1816
117,Moussa Diabaté,C,21,LAC,22,1,195,24,47,1,2,23,45,10,16,31,19,50,4,7,8,9,15,59
118,Mamadi Diakite,C,26,CLE,22,2,176,24,50,7,21,17,29,2,2,8,22,30,8,4,9,12,26,57
119,Hamidou Diallo,SF,24,DET,56,0,996,215,375,5,21,210,354,87,148,57,137,194,55,53,16,71,124,522
120,Gorgui Dieng,C,33,SAS,31,1,358,45,117,21,75,24,42,10,13,27,80,107,53,4,14,32,57,121
121,Ousmane Dieng,PF,19,OKC,39,1,569,76,181,26,98,50,83,15,23,19,86,105,46,14,7,26,42,193
122,Spencer Dinwiddie,SG-PG,29,TOT,79,79,2725,460,1050,181,490,279,560,268,330,28,242,270,515,67,24,145,187,1369
123,Donte DiVincenzo,SG,26,GSW,72,36,1894,235,540,150,378,85,162,58,71,80,245,325,252,97,10,112,133,678
124,Luka Dončić,PG,23,DAL,66,66,2391,719,1449,185,541,534,908,515,694,54,515,569,529,90,33,236,166,2138
125,Tyler Dorsey,SF,26,DAL,3,0,8,4,5,1,2,3,3,0,0,1,1,2,0,0,0,0,0,9
126,Luguentz Dort,SF,23,OKC,74,73,2272,339,873,135,409,204,464,200,259,128,216,344,154,75,23,92,243,1013
127,Ayo Dosunmu,SG,23,CHI,80,51,2098,281,570,59,189,222,381,66,82,45,175,220,206,62,26,99,182,687
128,Devon Dotson,PG,23,WAS,6,0,53,1,10,1,4,0,6,0,0,6,4,10,8,5,0,3,9,3
129,Jeff Dowtin,PG,25,TOR,25,0,259,25,57,5,16,20,41,6,9,6,17,23,31,9,3,5,13,61
130,PJ Dozier,SF,26,SAC,16,0,79,10,33,2,16,8,17,0,0,1,13,14,10,6,1,5,7,22
131,Goran Dragić,PG,36,TOT,58,0,870,141,335,52,145,89,190,31,45,16,65,81,151,13,4,63,65,365
132,Andre Drummond,C,29,CHI,67,0,849,166,274,0,3,166,271,67,125,138,306,444,33,45,27,75,117,399
133,Chris Duarte,SF,25,IND,46,12,897,123,333,55,174,68,159,61,72,19,96,115,64,25,9,41,65,362
134,David Duke Jr.,SG,23,BRK,23,0,228,36,78,1,12,35,66,12,17,11,18,29,21,10,1,18,31,85
135,Kris Dunn,PG,28,UTA,22,3,568,116,216,17,36,99,180,41,53,9,91,100,124,25,10,35,58,290
136,Kevin Durant,PF,34,TOT,47,47,1672,483,862,93,230,390,632,307,334,17,296,313,235,34,67,156,99,1366
137,Jalen Duren,C,19,DET,67,31,1670,258,398,0,2,258,396,96,157,229,366,595,75,44,59,92,182,612
138,Tari Eason,PF,21,HOU,82,5,1767,296,660,59,172,237,488,109,145,195,301,496,88,96,47,101,189,760
139,Anthony Edwards,SG,21,MIN,79,79,2842,707,1541,213,578,494,963,319,422,47,411,458,350,125,58,259,186,1946
140,Kessler Edwards,SF,22,TOT,36,4,385,36,93,17,55,19,38,11,15,23,38,61,23,14,6,13,40,100
141,Keon Ellis,SG,23,SAC,16,0,71,7,16,6,12,1,4,4,7,4,4,8,6,5,1,1,10,24
142,Joel Embiid,C,28,PHI,66,66,2284,728,1328,66,200,662,1128,661,771,113,557,670,274,66,112,226,205,2183
143,Drew Eubanks,C,25,POR,78,28,1584,214,334,7,18,207,316,83,125,132,286,418,103,40,102,67,169,518
144,Bruno Fernando,C,24,TOT,39,4,405,59,112,0,4,59,108,35,50,54,83,137,31,6,34,25,74,153
145,Dorian Finney-Smith,PF,29,TOT,66,66,2009,196,501,114,338,82,163,45,59,114,202,316,100,55,36,62,144,551
146,Malachi Flynn,PG,24,TOR,53,2,691,87,242,47,133,40,109,25,33,15,61,76,70,21,4,25,65,246
147,Simone Fontecchio,SF,27,UTA,52,6,766,115,312,63,191,52,121,35,44,31,55,86,42,15,8,39,62,328
148,Bryn Forbes,SG,29,MIN,25,0,268,30,83,14,46,16,37,15,15,4,11,15,17,7,2,12,22,89
149,Trent Forrest,SG,24,ATL,23,3,277,25,60,0,2,25,58,2,3,5,32,37,38,7,2,15,17,52
150,Michael Foster Jr.,PF,20,PHI,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Evan Fournier,SG,30,NYK,27,7,459,56,166,35,114,21,52,18,21,4,45,49,36,16,3,22,46,165
152,De'Aaron Fox,PG,25,SAC,73,73,2435,682,1331,119,367,563,964,343,440,40,266,306,447,83,23,181,172,1826
153,Markelle Fultz,PG,24,ORL,60,60,1778,349,679,27,87,322,592,112,143,69,165,234,341,87,26,139,131,837
154,Wenyen Gabriel,C,25,LAL,68,2,1024,155,260,10,36,145,224,52,84,116,170,286,36,26,35,46,144,372
155,Daniel Gafford,C,24,WAS,78,47,1604,289,395,0,0,289,395,127,187,163,270,433,84,33,99,85,187,705
156,Darius Garland,PG,23,CLE,69,69,2447,522,1129,169,412,353,717,277,321,28,157,185,538,85,9,199,148,1490
157,Usman Garuba,C,20,HOU,75,1,970,86,177,24,59,62,118,29,47,120,187,307,64,44,29,47,135,225
158,Luka Garza,C,24,MIN,28,0,243,63,116,14,39,49,77,41,52,33,30,63,18,3,2,14,43,181
159,Rudy Gay,PF,36,UTA,56,0,816,109,287,33,130,76,157,42,49,33,130,163,57,19,18,37,68,293
160,Paul George,SF,32,LAC,56,56,1939,459,1004,158,426,301,578,256,294,45,297,342,288,83,20,176,159,1332
161,Taj Gibson,C,37,WAS,49,2,480,65,125,8,24,57,101,30,42,32,61,93,34,15,12,26,84,168
162,Josh Giddey,PF,20,OKC,76,76,2367,539,1118,76,234,463,884,106,145,148,451,599,469,57,31,211,143,1260
163,Shai Gilgeous-Alexander,PG,24,OKC,68,68,2416,704,1381,58,168,646,1213,669,739,59,270,329,371,112,65,192,192,2135
164,Anthony Gill,PF,30,WAS,59,8,624,71,132,4,29,67,103,49,67,37,62,99,34,7,12,15,70,195
165,Jacob Gilyard,PG,24,MEM,1,0,41,1,3,1,3,0,0,0,0,0,4,4,7,3,0,2,3,3
166,Rudy Gobert,C,30,MIN,70,70,2148,360,546,0,3,360,543,219,340,231,583,814,87,56,95,122,210,939
167,Jordan Goodwin,PG,24,WAS,62,7,1106,158,353,38,118,120,235,53,69,57,148,205,168,58,26,57,95,407
168,Aaron Gordon,PF,27,DEN,68,68,2055,429,761,60,173,369,588,191,314,164,282,446,203,54,51,98,129,1109
169,Eric Gordon,SG,34,TOT,69,58,1965,291,653,132,356,159,297,142,173,16,118,134,183,43,25,104,78,856
170,Devonte' Graham,PG,27,TOT,73,8,1338,161,431,119,338,42,93,98,131,19,103,122,196,45,16,53,79,539
171,Jerami Grant,PF,28,POR,63,63,2246,434,913,144,359,290,554,278,342,53,230,283,150,51,53,116,152,1290
172,RaiQuan Gray,PF,23,BRK,1,0,35,6,12,2,5,4,7,2,2,3,6,9,7,0,1,4,5,16
173,A.J. Green,SG,23,MIL,35,1,345,53,125,44,105,9,20,4,4,6,39,45,22,6,0,9,31,154
174,Danny Green,SG,35,TOT,11,0,138,22,49,16,37,6,12,1,1,3,11,14,6,6,3,10,16,61
175,Draymond Green,PF,32,GSW,73,73,2297,250,474,40,131,210,343,77,108,66,459,525,500,74,60,204,229,617
176,Jalen Green,SG,20,HOU,76,76,2602,566,1359,187,554,379,805,364,463,43,241,284,281,59,18,200,131,1683
177,JaMychal Green,PF,32,GSW,57,1,797,136,252,42,111,94,141,52,67,72,133,205,51,25,23,52,105,366
